ID,CAM17U_COD,CAM17U_DEN,CAM17U_NOME,DAB,IV,ST,TSO,TSOFM,ICMI,AAST,PDU,ADD,ADDSP,OAI,OSS,POP_NFR,EDI,IVMS
56,CU041_01,Trentino-Alto Adige/Sudtirol - 01,Bolzano,349.7699667076,136.8858712237,106.7206750271,71.1042761099,85.474893553,25.2141633352,1.1660344946,13.6044991596,541.2113580046,139.769845461,9.9484029484,26.3501228501,16.0924841973,30.4735510302,97.9241076191
57,CU041_02,Trentino-Alto Adige/Sudtirol - 02,Merano,50.3834803913,110.6449233795,69.7410343929,73.9371929075,83.8184352545,28.8123557607,0.7856965568,9.0806247362,364.8162125696,66.9022316329,9.9563179203,25.9082676326,5.0190277878,24.3196574112,99.0214854308
58,CU041_03,Trentino-Alto Adige/Sudtirol - 03,Bressanone,46.4157814742,90.7912478549,57.8545886656,73.8380112003,82.0848456097,29.1281978998,0.722922217,9.236121423,499.6960785924,92.4742488213,11.7752696481,27.6820601008,4.215102762,21.1524070841,99.1526491021
59,CU041_04,Trentino-Alto Adige/Sudtiroll - 04,Trento,122.2713228415,132.0277568085,95.7180055936,67.3819018508,79.9974517688,21.6731380162,0.6683180945,15.1803294695,465.684426481,121.8536020831,11.9600097537,26.2843208973,12.6893636412,37.3078339317,93.0450107852
60,CU041_05,Trentino-Alto Adige/Sudtirol - 05,Rovereto,79.311774612,129.4607020361,91.0601754953,67.3385354671,79.5914297066,20.8684695163,0.7823785187,11.9150853089,415.6017265926,89.8123096296,18.493799959,25.5303340849,14.7210244186,39.439178331,93.1081289083
61,CU041_06,Trentino-Alto Adige/Sudtirol - 06,Pergine Valsugana,56.8370886352,121.1526282457,64.9016302227,67.9680036684,78.4175156456,22.2775520902,0.9005604887,10.221959589,383.3390082466,78.1726225574,13.8246477709,25.3715167435,14.9354340219,43.2588746369,91.8529984478
62,CU051_01,Veneto 1 - 01,Venezia,668.9537640791,221.8936438733,96.244587543,64.6799129541,80.0615315744,24.7985938187,2.6304037737,15.749355591,495.9614744088,102.0248140335,12.6624655376,37.9420175694,10.783771748,31.3369692645,95.1215366791
63,CU051_02,Veneto 1 - 02,San Donà di Piave,215.4869192731,147.6472799838,84.9606575133,63.8450987619,71.829245623,24.075294807,4.7208279483,9.0017499663,336.0437705075,44.1288904463,20.7571705248,28.0632666236,16.4505291742,7.8456195576,94.142125604
64,CU051_03,Veneto 1 - 03,Chioggia,315.374780775,147.5799595438,59.9419442713,63.9581777446,71.9694870554,25.3929694198,4.2761608283,8.8011313147,296.5448502345,44.7569164546,25.6584560341,26.4923627357,6.0165081189,14.7915732855,92.4167038839
65,CU051_04,Veneto 1 - 04,Castelfranco Veneto,480.3758527107,107.1769262781,86.0029959124,65.3647468139,72.1095469747,23.6611976347,2.2463606995,9.8772936215,366.7098281159,45.1519536903,28.005773449,24.1871142984,7.8695318837,9.3106535363,92.6495336771
66,CU051_05,Veneto 1 - 05,Montebelluna,271.4119144867,116.6519797016,122.8542053434,64.955312143,72.24059776,23.9747634069,2.3270947758,8.5825937694,374.429290493,42.1679408655,35.2759287578,20.2505172259,6.6428166698,22.7797833935,95.8963776443
67,CU051_06,Veneto 1 - 06,Conegliano,291.6015618035,142.8446377888,120.7213327363,66.6780081898,75.4407096794,21.9755747126,2.7609785747,9.9716646989,407.6757399373,50.6453704704,35.5156552193,20.7638562194,11.2528533802,20.6739015701,94.7826814732
68,CU051_07,Veneto 1 - 07,Belluno,57.807031912,185.7759436641,59.474352524,67.331266468,83.3590167564,21.095610752,2.2177068215,10.0766646863,402.6018831309,71.9135580632,30.8719782796,22.3953506122,10.7125935511,39.5586505048,91.9487870159
69,CU051_08,Veneto 1 - 08,Treviso,538.9944829862,140.1465551974,89.5092781985,66.6274549918,76.9886621588,22.7529067744,2.0915628244,14.367513166,418.1583651206,70.2047284722,23.2701575649,28.0886624882,11.6143421521,14.4636207104,93.1405765792
70,CU052_01,Veneto 2 - 01,Rovigo,133.2063759031,203.24204883,65.3809176023,64.0756196576,76.5432316295,25.1415628539,5.2107404555,9.2860795646,348.3901315871,58.6055647021,24.8663127367,22.026843439,12.338854943,19.8450201108,94.9519282893
71,CU052_02,Veneto 2 - 02,Padova,1637.4470903289,180.7460922812,112.4455922365,66.1527301075,82.2586236953,20.0462553568,2.03192069,23.0620075086,519.1166149815,122.6892906161,15.8951619289,31.4997228601,14.2599502972,9.2135570911,94.6347566408
72,CU052_03,Veneto 2 - 03,Vigonza,458.5863551625,110.1758692853,95.8869655745,66.8919627951,72.081847148,23.7401238522,2.1314232688,9.6189006857,407.2728661982,39.1437094674,33.0565595389,22.454262549,6.1049858969,9.2408798283,93.2729446319
